2020-07-26 18:36:45.266 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Starting BlogApplication on DESKTOP-CNOGRH7 with PID 1008 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:36:45.267 === [restartedMain] === DEBUG === com.aimerrhythms.blog.BlogApplication === Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:36:45.267 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === No active profile set, falling back to default profiles: default
2020-07-26 18:36:45.421 === [restartedMain] === WARN  === org.mybatis.spring.mapper.ClassPathMapperScanner === No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:36:45.610 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 80 (http)
2020-07-26 18:36:45.611 === [restartedMain] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-07-26 18:36:45.611 === [restartedMain] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:36:45.629 === [restartedMain] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-07-26 18:36:45.629 === [restartedMain] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext === Root WebApplicationContext: initialization completed in 359 ms
2020-07-26 18:36:45.774 === [restartedMain] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:36:45.810 === [restartedMain] === INFO  === o.s.b.a.web.servlet.WelcomePageHandlerMapping === Adding welcome page template: index
2020-07-26 18:36:45.985 === [restartedMain] === INFO  === o.s.b.d.autoconfigure.OptionalLiveReloadServer === LiveReload server is running on port 35729
2020-07-26 18:36:45.997 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:36:46.000 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Started BlogApplication in 0.762 seconds (JVM running for 266.074)
2020-07-26 18:36:46.001 === [restartedMain] === INFO  === o.s.b.d.a.ConditionEvaluationDeltaLoggingListener === Condition evaluation unchanged
2020-07-26 18:38:40.373 === [Thread-26] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-26 18:38:40.502 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Starting BlogApplication on DESKTOP-CNOGRH7 with PID 1008 (E:\Idea_WorkSpace\aimerrhythms_blog\blog\target\classes started by aimerrhythm in E:\Idea_WorkSpace\aimerrhythms_blog)
2020-07-26 18:38:40.503 === [restartedMain] === DEBUG === com.aimerrhythms.blog.BlogApplication === Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-07-26 18:38:40.503 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === No active profile set, falling back to default profiles: default
2020-07-26 18:38:40.657 === [restartedMain] === WARN  === org.mybatis.spring.mapper.ClassPathMapperScanner === No MyBatis mapper was found in '[com.aimerrhythms.blog]' package. Please check your configuration.
2020-07-26 18:38:40.775 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 80 (http)
2020-07-26 18:38:40.776 === [restartedMain] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-07-26 18:38:40.776 === [restartedMain] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-07-26 18:38:40.794 === [restartedMain] === INFO  === o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-07-26 18:38:40.794 === [restartedMain] === INFO  === o.s.b.w.s.c.ServletWebServerApplicationContext === Root WebApplicationContext: initialization completed in 286 ms
2020-07-26 18:38:40.948 === [restartedMain] === INFO  === o.s.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-07-26 18:38:40.987 === [restartedMain] === INFO  === o.s.b.a.web.servlet.WelcomePageHandlerMapping === Adding welcome page template: index
2020-07-26 18:38:41.252 === [restartedMain] === INFO  === o.s.b.d.autoconfigure.OptionalLiveReloadServer === LiveReload server is running on port 35729
2020-07-26 18:38:41.261 === [restartedMain] === INFO  === o.s.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 80 (http) with context path ''
2020-07-26 18:38:41.267 === [restartedMain] === INFO  === com.aimerrhythms.blog.BlogApplication === Started BlogApplication in 0.786 seconds (JVM running for 381.34)
2020-07-26 18:38:41.268 === [restartedMain] === INFO  === o.s.b.d.a.ConditionEvaluationDeltaLoggingListener === Condition evaluation unchanged
